Text,ground_label,modality
i'm--the element is in me.,Explain,Text
"okay, quick tip.",Advise,Text+Video+Audio
just cText+Video+Audio him  papi  at the end of every sentence.,Advise,Text+Video+Audio
i've dated a lot of latin men.,Flaunt,Text
"no, no, man. i don't care.",Oppose,Text
"right, that sounds like caring.",Taunt,Text+Video+Audio
"no, no, no, no, dude. i don't care.",Oppose,Text
mm!,Leave,Text+Video+Audio
lay na sol ya ra.  says it's hindi.,Introduce,Text+Video+Audio
"no, he's dominican.",Oppose,Text
"he's a great, great guy.",Praise,Text
why didn't you just tell him that you didn't understand what he was saying?,Doubt,Text
because then he would just go on and on about taking my latina card from me.,Explain,Text
"like when you go to sharky's, you earn points.",Joke,Text+Video+Audio
we should go on a double date together.,Advise,Text
"you and, um, the beverage guy and kelly and me.",Advise,Text+Video+Audio
"guys, amy's in uncharted territory right now.",Inform,Audio
she usuText+Video+Audioy only dates white men.,Inform,Text
that's not true. i don't just date white men.,Oppose,Text
i'm gonna cText+Video+Audio kelly. i'm gonna Text her.,Plan,Text
"i don't have a preference. and if i did, it probably wouldn't be white guys.",Oppose,Text+Video
she's in!,Inform,Text
"hey, guys.",Greet,Text
"um, i just wanted to double check.",Confirm,Text+Video+Audio
"no one wanted to buy anything from jerusha, right?",Confirm,Text
"just asking as a pal, not your boss.",Explain,Text
"no, thank you. i don't reText+Video+Audioy like them.",Refuse,Text
okay. cool.,Acknowledge,Text+Video+Audio
"you know, you would look reText+Video+Audioy fetching in a bird scarf.",Advise,Text+Video+Audio
listen up!,Inform,Text
everybody here better get out there and start buying stuff from my wife!,Arrange,Text+Video+Audio
i feel like you're pressuring us.,Criticize,Text+Video+Audio
"you're goddamn right, i'm pressuring you.",Agree,Text+Video+Audio
"you buy stuff, or you're fired!",Warn,Text
i had my medicine in that.,Complain,Audio+Video
i crush it up and hide it to trick myself.,Explain,Text
"so, i lager for three months at 35 degrees.",Introduce,Text+Video+Audio
thank you for just being honest with me.,Thank,Text
"now, how about i take you out sometime?",Invite,Text+Video+Audio
the missouri lottery is the highest it's been in 20 years.,Inform,Text
i'd get a bunch of vintage jordans.,Plan,Text+Video+Audio
"if i won, you would not see me here tomorrow.",Joke,Text+Video
that is for sure. i would be taking thursdays off from now on.,Flaunt,Text+Video+Audio
"i'd go to reText+Video+Audioy expensive stores, hoping that white women would be rude to me, so i could come back with a bunch of bags and be like, a ha, big mistake.",Joke,Text+Video+Audio
"i could probably make thursdays work, if they reText+Video+Audioy needed me.",Inform,Audio
i'd donate my winnings to my favorite charity.,Plan,Text+Video+Audio
it's beautiful.,Praise,Text
"ooh, someone's Text+Video+Audio dressed up.",Praise,Text+Video+Audio
"oh, god, i hope it's not family court, is it?",Confirm,Text
"no, i'm asking glenn for a raise.",Explain,Text+Video+Audio
thanks.,Thank,Text
fair enough.,Acknowledge,Text
you just need to pick another number.,Advise,Text+Video
was 31 a mistake?,Confirm,Text+Video+Audio
"because if you pick 30, you're not gonna win.",Explain,Text+Video
i don't have time for the preamble.,Complain,Text+Video+Audio
a few of them left before buying lottery tickets.,Inform,Text
thank you for letting me know.,Thank,Text
this is helpful.,Praise,Text
"also, elias has been stealing discontinued light bulbs.",Inform,Text
"sometimes, i pee in the shower.",Joke,Text+Video+Audio
i do it to wash my feet. urine is sterile.,Explain,Text
we could cut down on things like lotto tickets.,Advise,Text
"or buy more lotto tickets, depending on whether we win or not.",Advise,Text
you could be on the lookout for loose coins.,Advise,Text
"vending machines, couch cushions, the ground near parking meters, fountains.",Advise,Text+Video+Audio
"or, what if this company just gave us a little bit more money so we wouldn't have to scrounge for money like street urchins?",Advise,Text
"okay, moving on. section three, social services.",Inform,Text
uncle sam has your food. now go get it!,Arrange,Text
"laurie, i am so sorry.",Apologise,Text
"i was trying to pull up next to you, but those things reText+Video+Audioy just don't turn well.",Explain,Text
"and i'm not saying this is what happened, but it is very possible that someone cut my break lines.",Explain,Text
i'm sorry for the wait.,Apologise,Text
"no, no way, no, what are you doing?",Prevent,Text
"so i would love-no, actuText+Video+Audioy, i think i deserve an extra buck 50 an hour.",Advise,Text+Video+Audio
"i'm sorry, are you actuText+Video+Audioy asking me for a raise right now?",Confirm,Text+Video
that is what i'm doing.,Emphasize,Text+Video+Audio
"no, no, no, not medicText+Video+Audioy.",Oppose,Text
under no circumstances let me see what's inside that envelope.,Arrange,Text+Video
can i see what's in that envelope?,Ask for help,Text
"the baby's in a sack anyway. i'm just suggesting we take out that sack, and stuff it into someone else.",Advise,Text
i wake up empty and happy and everybody wins.,Complain,Text+Video
"Text+Video+Audio right, don't just say no, Text+Video+Audio right?",Complain,Text+Video+Audio
why would you tell jeff what i said?,Criticize,Text
"like, not psychic, but he's operating on a very high level.",Praise,Text+Video+Audio
"well, now he feels even worse about himself.",Complain,Text
okay.,Acknowledge,Text
"hey, hey, hey. let's get out of here.",Comfort,Text+Video+Audio
"okay, thank you.",Thank,Text
"so are we talking broken condom, or a pull and pray situation?",Confirm,Text
"sure, sure.",Acknowledge,Text+Video+Audio
let's not talk about that either.,Prevent,Text
"okay, Text+Video+Audio right.",Acknowledge,Text
how about we just listen to the radio?,Advise,Text
"look, we can ride in silence. that is fine by me.",Advise,Text
"you know, i was gonna take skydiving lessons.",Plan,Text+Video+Audio
Text+Video+Audio of the stuff that i'd...,Complain,Text+Video+Audio
"who cares, doesn't matter anymore.",Complain,Text+Video+Audio
"and if there is stuff you want to do, do that stuff.",Advise,Text+Video+Audio
yeah.,Acknowledge,Text
"oh, it is awesome.",Praise,Text
"oh. so, the ceo may come to this store that we're in right now?",Confirm,Text
that's... interesting.,Praise,Text
"if he needs a place to stay, he can have my master bedroom.",Advise,Text+Video+Audio
we'll get you 100 photos.,Plan,Text+Video+Audio
"look, i'm sorry if i reacted poorly yesterday.",Apologise,Text
i'm sorry. i just--it's been a reText+Video+Audioy rough day.,Apologise,Text
and i don't know how much more i can take.,Complain,Text
okay.,Acknowledge,Text
"you waited to talk to me Text+Video+Audio day, and when i'm ready, it's just like,  nah.  it's what you want when you want it.",Complain,Audio+Video
did the farmers market run out of your yogurt?,Taunt,Text+Video+Audio
"or--oh, your  new yorker  came late this month.",Taunt,Text+Video+Audio
this is what i'm talking about!,Emphasize,Text
you love playing the martyr.,Criticize,Text+Video+Audio
"you get to just judge everybody else, but nobody gets to criticize you on your crap.",Criticize,Text
are you reText+Video+Audioy that pissed off that i kissed you?,Doubt,Text
"no, i'm pissed off that i waited around for you for two years, and you waited until i was in a relationship and you were pregnant to kiss me.",Criticize,Text
"so could you, but we Text+Video+Audio know that's never gonna happen.",Oppose,Text+Video+Audio
"go to hell, jonah.",Leave,Text+Video+Audio
can't you just search some keywords?,Advise,Text+Video+Audio
"but, we should probably open it just to be safe.",Advise,Text+Video
"i'm sorry, are you asking me to carry human cheese in our stores?",Confirm,Text+Video+Audio
oh! i hadn't reText+Video+Audioy--,Oppose,Text+Video
baby and toddler!,Inform,Audio
pet food!,Inform,Text
"okay, i get-i get that cloud 9 is an olympic sponsor, but do Text+Video+Audio the stores do an actual olympic opening ceremony?",Doubt,Text+Video+Audio
"nope, just us.",Oppose,Text
toys and sporting goods!,Inform,Text
is the life jacket reText+Video+Audioy necessary?,Doubt,Text
"and now, to light the cloud 9 olympic cauldron is store 1217's oldest living employee.",Introduce,Text
myrtle. now.,Inform,Audio
i put it in my column in the newsletter.,Inform,Text
that's not the cauldron!,Prevent,Text+Video+Audio
"it's okay, it's just a little baby fire!",Comfort,Text
"Text+Video+Audio right, okay, i've got this!",Comfort,Text+Video+Audio
we have an elected store fire marshal who will lead us from the building safely.,Inform,Text
"hi. dina fawkes, assistant manager.",Greet,Text
"hi, i'm amy.",Greet,Text
"no offense, i'm just not impressed by celebrities, but i do have an olympics related question.",Explain,Text+Video+Audio
"uh, i don't think i know how to answer that.",Refuse,Text
"i'm gonna name some olympians, and you tell me if you've...",Arrange,Text+Video+Audio
okay.,Leave,Text+Video+Audio
"i'm sorry, i'm just--i'm not comfortable talking about that part of my life.",Apologise,Text
"oh, no, no, no.",Oppose,Text
"i'm not-i had your poster on my wText+Video+Audio when i was a kid, and, um, i dressed my barbie like you, and my brother cut it in half, but it wasn't personal.",Explain,Text
it was--he was just-but he's fine now.,Explain,Text+Video
"amy, right?",Confirm,Text
you are the best in the world at being you.,Praise,Text
your eyes are like lasers.,Praise,Text+Video+Audio
"and back when i took gymnastics, coach bev said i was her best trier in her tuesday-thursday class.",Flaunt,Text+Video+Audio
"i think what amy is trying to say is that, uh, a lot of olympic gymnasts train their whole lives, so writing it down a card might not be enough.",Explain,Text
reText+Video+Audioy?,Doubt,Text+Video+Audio
"no, that is not what i was trying to say, jonah.",Oppose,Text
i was trying to say tokyo 2020!,Explain,Text
i just picked up a multicultural buffet.,Inform,Text
"anyway, there's, uh, no reason for anyone to feel excluded.",Inform,Text
"now, i think Text+Video+Audio countries are equal.",Inform,Text
"you know, whether you're of mexican descent like amy.",Inform,Audio
"i don't speak spanish, sorry.",Apologise,Text
wha-reText+Video+Audioy?,Doubt,Text
"o-okay, um.",Acknowledge,Text
"these burritos Text+Video+Audio have meat in them, so i can't eat any of these.",Leave,Text+Video+Audio
"Text+Video+Audio you have to do is write it on the card, believe in it, and your dreams will come true!",Inform,Text
"oh, hey!",Greet,Text
are you guys doing that missy-dream-card thing where you write down your realistic dreams?,Care,Text+Video+Audio
"yeah, that's the point.",Emphasize,Text+Video+Audio
maybe more realisticText+Video+Audioy-why don't you try to  nail  someone you actuText+Video+Audioy know?,Advise,Text
like your wife?,Advise,Text+Video+Audio
"oh, cool, that'd be awesome.",Praise,Text
"no, it wouldn't.",Oppose,Text
"what i'm trying to say is you may not be able to  start the next google  or, uh,  be beyoncé,  or  try lobster--  no, carol, that is a good one.",Explain,Text+Video+Audio
you could actuText+Video+Audioy do that right now.,Advise,Text
"okay, well, then, maybe don't try the lobster, but what i'm saying is you can't just do anything.",Explain,Text+Video+Audio
"oh, my god, i'm so sorry, garrett.",Apologise,Text
that's just the first thing that came to mind.,Explain,Text+Video+Audio
"cheyenne, what did you write?",Care,Text+Video
"yeah, okay, i get it.",Acknowledge,Text
"no, that is not what i'm saying.",Oppose,Text
"thanks, amy.",Thank,Text
hey.,Greet,Text
you're suspended with pay.,Inform,Text
what you did back there was awesome.,Praise,Text
so about that walkout?,Care,Text+Video+Audio
"oh, and have a heavenly day.",Inform,Audio
so they wouldn't give glenn's job back?,Confirm,Text+Video+Audio
"sandra, you were saying you weren't getting paid for overtime?",Confirm,Text+Video+Audio
i didn't mean to complain.,Explain,Text+Video
this is what change looks like.,Inform,Audio
regular people like us demanding action.,Inform,Audio
corporate says we're in over our heads.,Criticize,Text+Video+Audio
i think we're in under our heads.,Inform,Audio
"just go with it, guys.",Advise,Text+Video+Audio
tomorrow we're gonna come back with signs.,Inform,Text
"we're gonna have one of those big, inflatable rats.",Joke,Text+Video+Audio
"um, good energy, dougie.",Praise,Text
we'll see you tomorrow.,Inform,Audio
for our first day of strike!,Inform,Text
"okay, everybody, listen up, please.",Inform,Text
they just want things the way they were.,Inform,Audio
dina is back as assistant manager.,Inform,Audio
"and anybody who's willing to come in and sign the letter by the end of the day, we welcome you back.",Inform,Audio
"glenn, that goes for you too.",Inform,Audio
"no, no, hey, guys.",Prevent,Text+Video
"detergents. pod, liquid, powder.",Introduce,Text
"uh, high-efficiency, et cetera, et cetera.",Introduce,Text+Video+Audio
you're a lifesaver.,Praise,Text
"oh, could you just repeat that over here?",Ask for help,Text
"actuText+Video+Audioy, i'm kinda in a hurry.",Refuse,Text+Video+Audio
this is my son. you're hurting my arm!,Criticize,Text+Video+Audio
now tell him what you just said to me.,Arrange,Text
you're hurting my arm.,Criticize,Text
i mean before that. about being a lifesaver.,Explain,Text
"it's okay, owen. mama's here.",Comfort,Text
the bad man didn't get me.,Comfort,Text+Video+Audio
it's ma-tato.,Inform,Audio
i mean... mateo.,Explain,Text
there's just nothing like looking into your baby's eyes.,Introduce,Text+Video+Audio
"amy, wanna see my baby?",Invite,Text+Video
not now. i need everybody's help.,Ask for help,Text+Video
"follow me, please.",Arrange,Text+Video
so as i seek atonement for my foibles--  that's a little bit much.,Complain,Audio+Video
"um, blah, blah,  the movie 'magnolia'?",Doubt,Text+Video+Audio
i would imagine. it's--it's an excellent film.,Praise,Text
"actuText+Video+Audioy, no. i'm not sorry.",Oppose,Text+Video+Audio
"and this isn't even like a  sorry, not sorry  situation.",Oppose,Text
"this is  not sorry, not sorry.  you're Text+Video+Audio garbage, so grab a cupcake, and continue your slow march to death.",Taunt,Text+Video+Audio
"marcus got his thumb back, so, you know, no harm no foul.",Comfort,Text+Video+Audio
we're never gonna have another march 14th.,Inform,Audio
"thanks, glenn, but i don't think we can pull that move twice in 48 hours.",Thank,Text
Text+Video+Audio clear.,Inform,Audio
"listen, tate, i would never ask you to sell something that you were not comfortable with, so if you wanna remove them from the pharmacy, i will support you.",Inform,Text
are you kidding?,Doubt,Text
"okay, but between us, could you just find a reason to take them off the shelf?",Ask for help,Text
"tate, do you believe in god?",Confirm,Text
"oh, brother.",Leave,Text+Video+Audio
can i take a look at that bolt action rifle?,Ask for help,Text
"yes, you may.",Agree,Text
"yeah, i'm pretty upset about it.",Complain,Audio+Video
how upset are you?,Care,Text
"i worked there over 20 years, and then they just get rid of me like i'm trash?",Complain,Text
service denied. service denied.,Refuse,Text+Video+Audio
"you just said you're upset and they were gonna regret it, so nope.",Explain,Text+Video+Audio
'cause i'm the only one who understands the payroll software.,Explain,Text
"look, i'm sorry i'm being overly cautious, but you know what?",Apologise,Text
"why don't we try and find you a better hobby than this, you know?",Advise,Text
have you ever considered fencing?,Advise,Text+Video+Audio
fencing sucks.,Complain,Text
"no, it doesn't.",Oppose,Text
i'm sorry; i just have way too many concerns about your level of anger.,Apologise,Text
this is discrimination.,Criticize,Text
attention.,Inform,Text
i need everyone in the store to be completely silent as i will be making some noises that replicate the cText+Video+Audios of the crows' natural enemies.,Inform,Text
today is a great day for the second amendment.,Inform,Text
i'm proud to see so many of us came out here to protest the despicable actions of that short-haired lady over there who infringed on our rights today.,Inform,Audio
she can't take us away from our guns.,Inform,Audio
"first of Text+Video+Audio, i'm a man, but thank you.",Inform,Audio
i can say whatever i want to say.,Inform,Audio
will everybody please just shut up!,Prevent,Text
you sound like children.,Taunt,Text+Video+Audio
we can't Text+Video+Audio just do whatever we want whenever we want to.,Inform,Audio
someone pisses you off so you have to flash a rifle to prove a point?,Criticize,Text+Video+Audio
just be a grown-up.,Advise,Text
i don't think so.,Oppose,Text
isn't that kind of what you're doing now?,Doubt,Text
"hey, cody.",Greet,Text
hey.,Greet,Text
just wanted to tell you i value you.,Inform,Text
thank you.,Thank,Text
i appreciate that.,Praise,Text+Video+Audio
"i'm going to go over there, okay?",Leave,Text
and i usuText+Video+Audioy hate being in teams.,Complain,Text
it's why i burnt out of business school.,Explain,Text
sounds like you're making excuses.,Taunt,Text+Video
"anyway, the point is i got super stressed about being the best in my class, and i ended up in the hospital with dehydration for two days.",Explain,Text
"no, i was just trying to beat your story.",Oppose,Text
"yeah, well.",Acknowledge,Text
"i got more stuff than you, though.",Flaunt,Text+Video+Audio
okay.,Acknowledge,Text
"that's plenty. now, glenn.",Arrange,Text
oh. thank you.,Thank,Text
"yo, it's g-l-e-m.",Introduce,Text+Video+Audio
glenn?,Doubt,Text+Video+Audio
i can't sign this.,Refuse,Text
"if it was just my money i wouldn't care, i swear.",Explain,Text+Video+Audio
"but i have a family, bo.",Explain,Text
i'm sorry.,Apologise,Text
i just made $12.,Inform,Text
today is a high-alert day.,Inform,Text
dina's right.,Agree,Text
"yes, but james bond does.",Joke,Text+Video+Audio
"stop being the hText+Video+Audiooween version of scrooge, whatever that is.",Prevent,Text
put on a costume.,Arrange,Text
"actuText+Video+Audioy, i am dressed up. i'm you.",Explain,Text+Video
"wait, you guys should stand together Text+Video+Audio day.",Advise,Text
"yeah, i'm gonna find a costume to put on.",Leave,Text+Video+Audio
"so let's keep an eye out for teens, tweens, people who look inappropriately large or smText+Video+Audio...",Inform,Text
hello?,Greet,Text
"oh, my god, it's my favorite day of the year.",Praise,Text
"and later, i get to go trick-or-treating with emma, which is the best.",Praise,Text+Video+Audio
"ma'am, you realize that candy from strangers can contain razor blades and heroin needles, right?",Warn,Text+Video+Audio
"i'm just saying, best-case scenario: free chocolate bar.",Explain,Text
that's what i thought.,Agree,Text
i will not apologize for my commitment to our customers' safety.,Refuse,Text+Video+Audio
"oh, glenn, if i was you, i would've killed myself years ago.",Taunt,Text+Video+Audio
"you know, i think i saw some reText+Video+Audioy sketchy types headed for the stockroom.",Inform,Text
what?,Doubt,Text
those are exactly the things i said to look out for.,Emphasize,Text+Video+Audio
it's like i just talk to myself in this store.,Complain,Text+Video
"thanks, amy.",Thank,Text
"at 8:24, a crate of irregular produce was put in the cage to be returned to fulfillment and destroyed.",Inform,Text
irregular produce? you mean rotten?,Confirm,Text
"no, what i'm talking about is lumps, bumps, extra appendages, apples that look like pears, pears that look like guavas.",Explain,Text+Video+Audio
so we're just throwing away perfectly good food because it's ugly?,Doubt,Text
"looks matter, jonah.",Explain,Text+Video+Audio
"no, you can't just keep us here.",Oppose,Text
i'm going trick-or-treating with my daughter.,Plan,Text
"yeah, i have a date... uh, with a good book.",Plan,Text+Video+Audio
"i'm going to a screening of  nosferatu  at the tivoli, if anybody wants to come.",Plan,Text
justice does not stop for your plans.,Inform,Audio
"glenn, you're not gonna let her do this to us, right?",Confirm,Text
interrogations start immediately.,Inform,Text
why? what's going on?,Care,Text
you could just not look at her...,Advise,Text
have you seen my eye line? it's unavoidable.,Oppose,Text+Video+Audio
reText+Video+Audioy? or do those two words just sound the same?,Doubt,Text
what is this?,Care,Text+Video
"listen, i've been thinking about it a lot lately, and i have decided that you are my best friend in the store.",Inform,Text
"okay, well, you're nice too.",Praise,Text
"yeah, i am nice.",Agree,Text+Video
"anyway, i've been thinking about it, and i feel like we should just have a good old-fashioned girlfriend gabfest.",Invite,Text+Video+Audio
maybe you could tell me if you've seen or heard anything suspicious recently.,Advise,Text+Video
mm. suspicious?,Confirm,Text+Video+Audio
"mm. um, no.",Oppose,Text
reText+Video+Audioy?,Confirm,Text
"okay, i have to go.",Leave,Text
excuse me.,Leave,Text+Video+Audio
"that's what best girlfriends do, right?",Confirm,Text
the stupid poll worker lady is guarding those stickers like it's her last tub of activia.,Complain,Text+Video
"oh, hey. mateo, did you vote?",Care,Text+Video+Audio
"oh, my god. why is everyone obsessed with voting today?",Complain,Text
"okay. don't ask me any questions, but i want to buy your sticker.",Ask for help,Text+Video+Audio
okay.,Agree,Text+Video+Audio
"it's just, you know, it's kind of a secret.",Explain,Text
excuse me.,Leave,Text+Video+Audio
okay.,Acknowledge,Text
what's go--bring her in. oop!,Joke,Text+Video+Audio
"oh, i-i didn't meant to-i stumbled on the ladder and i fell into your hair.",Apologise,Text+Video+Audio
"uh, how's your, uh, barbecue business going?",Care,Text
"hey, you know, uh, we--we might still be looking for some seasonal help if you're-you're looking for a gig, you know?",Advise,Text+Video+Audio
wow. yeah. that's not a bad idea.,Praise,Text
what's not a bad idea?,Care,Text+Video+Audio
"uh, working here.",Explain,Text+Video+Audio
"god, i'm so pissed, glenn.",Complain,Text
"i mean, i've been here so long and you can't even make an exception for me?",Complain,Audio+Video
i can't. i'm--i'm sorry.,Apologise,Text
it's just the way they do things here.,Complain,Audio+Video
glad to have you.,Greet,Text
awesome! this'll be fun!,Praise,Text
"we have unibrow, unibrow 2, short guy tText+Video+Audio hair, and booklady.",Introduce,Text
"no, i wanted her. i hate her.",Oppose,Text+Video+Audio
which temp will quit next?,Care,Text+Video+Audio
i want this whole floor sparkling.,Arrange,Text
the floor? you mean the ground?,Confirm,Text
i just got sexuText+Video+Audioy harassed.,Ask for help,Text+Video+Audio
"oh, my gosh. i'm so sorry.",Comfort,Text+Video+Audio
i reText+Video+Audioy hope you're okay.,Comfort,Text
"after careful consideration, i've decided to go with the applicant i pretty much knew i was gonna go with from the beginning.",Inform,Text
"oh, uh, what did you say this pays?",Care,Text+Video+Audio
you're santa claus.,Inform,Audio
o-okay.,Acknowledge,Text
"we have a good marriage, right?",Confirm,Text
"uh, yeah.",Agree,Text+Video
yeah. i think so too.,Agree,Text
"Text+Video+Audio right, everybody, get ready.",Inform,Text
store is set to open in exactly one minute.,Inform,Text
you don't have to say Text+Video+Audio the numbers.,Advise,Text+Video
"okay, uh, one last thought before we open that if you apply-  whoa, whoa.",Inform,Text
"yeah, the line in the ladies' room was reText+Video+Audioy long, so--",Explain,Text
thanks.,Thank,Text
"okay, okay, cool.",Acknowledge,Text
dairy factory-farmed.,Introduce,Text
we don't sell wigs anymore.,Inform,Text
"henry, get Text+Video+Audio the upts out of the green zone.",Arrange,Text
"Text+Video+Audio right, break!",Arrange,Text
didn't know i had it in me.,Flaunt,Text+Video+Audio
"i mean, none of it meant anything, but the confidence is inspiring.",Explain,Text+Video+Audio
"dina, i can't.",Refuse,Text
"yeah, me too.",Agree,Text
"find every breath mint left in the store, and meet me in the photo lab.",Arrange,Text
"so are you just planning to avoid me until one of us quits, or--?",Doubt,Text+Video+Audio
"no, no, no, no, it's just, you know, i've been busy.",Oppose,Text+Video+Audio
i have absolutely no interest in pursuing this.,Oppose,Text+Video+Audio
"sky diving instructors, hand models, two of the original members of fine young cannibals.",Introduce,Text
"okay, i won't be weird, lady who has multiple birds.",Joke,Text+Video+Audio
i'm the bad boy of my friend group.,Flaunt,Text+Video+Audio
i'm so sorry.,Apologise,Text
i was just trying to brighten your day.,Explain,Text
i forgot it was gonna do that.,Explain,Text+Video+Audio
"i don't know, i mean, i guess i'll pay some bills...",Explain,Text
i don't need anything.,Oppose,Text+Video
"no, it's not about need. this is not about need.",Oppose,Text
yes! you be selfish.,Criticize,Text
okay.,Acknowledge,Text
"in retrospect, perhaps i shouldn't have told her how much we found.",Complain,Audio+Video
you should've just fixed your mom's crisper.,Advise,Text+Video+Audio
"ooh, a panini press! we could have hot sandwiches.",Advise,Text
"uh, okay, yeah. put it in the cart.",Arrange,Text
what? i love hot sandwiches.,Explain,Text+Video+Audio
it is because what makes me happy is seeing other people be happy.,Explain,Text
"great, that's-okay, thank you.",Thank,Text
that too.,Agree,Text
where is the halo toilet paper?,Ask for help,Text
i could only find this stuff.,Inform,Audio
"yeah, this is our new product line: the supercloud, and i have been ordered to tell you how excited i am about it.",Introduce,Text
but i like halo.,Oppose,Text+Video+Audio
"oh, my god, this is amazing.",Praise,Text
"oh, rex, thank you for giving us this gift.",Thank,Text
"okay, i think we've seen enough.",Prevent,Text+Video+Audio
"hey, sorry about before.",Apologise,Text
"oh, that's fine.",Acknowledge,Text+Video+Audio
he does a reText+Video+Audioy good impression of you.,Praise,Text
"look, uh, i just don't want you to think that i got one foot out the door, okay?",Confirm,Text
"yeah, okay.",Acknowledge,Text
"if you think there's honestly no difference, cancel it.",Advise,Text+Video
"okay, great, yeah.",Agree,Text+Video+Audio
"i will, i'll do it-i'll do it tonight.",Plan,Text
no time like the present.,Advise,Text+Video+Audio
okay. i'll do it now.,Agree,Text+Video+Audio
it's in an email so i gotta search for it for-just hang on one second.,Explain,Text+Video+Audio
"hey, it's okay.",Comfort,Text
it's--it's not me. it's the wi-fi.,Explain,Text
"well, they do now!",Acknowledge,Text+Video+Audio
"oh, hey.",Greet,Text
"i just wanted to let you know i restocked Text+Video+Audio the toothpaste that myrtle decided looked  just fine  in electronics, so-and?",Inform,Audio
"well, i know there's more.",Acknowledge,Text+Video+Audio
"no, there's not. there's just--",Oppose,Text
there's just no shame in counseling.,Comfort,Text+Video
no. mental health is important and it shouldn't be stigmatized.,Oppose,Text
"i know you're trying to help me and i reText+Video+Audioy appreciate it, but i don't want to talk about it, okay?",Refuse,Text+Video+Audio
i don't. i just want everybody to treat me normText+Video+Audioy.,Oppose,Text+Video+Audio
okay?,Confirm,Text+Video+Audio
it's okay.,Comfort,Text
you are loved.,Comfort,Text+Video+Audio
"when he confronted the witches, it reText+Video+Audioy grounded him.",Introduce,Text+Video+Audio
"oh, i'm not seeing anyone.",Oppose,Text+Video
what about jeff?,Care,Text+Video
sorry. 'scuse me.,Apologise,Text
hi. carol.,Greet,Text
"oh! i'm gonna get another long island iced tea, beyotches!",Plan,Text
"i'm gonna have you tackle womenswear with myrtle, and cheyenne here is gonna take your post.",Arrange,Text+Video
you'll be fine. i believe in you.,Comfort,Text
hello. welcome to cloud 9.,Greet,Text
"no, he's not.",Oppose,Text
"and fewer lawsuits equals more revenue for cloud 9, which benefits Text+Video+Audio of us.",Inform,Text
"oh, god, kill me now.",Complain,Text+Video+Audio
"whoa, well done.",Praise,Text
everybody write down Text+Video+Audio the employees you're attracted to.,Arrange,Text+Video
i will compile a spreadsheet of any matches and post it above the microwave.,Plan,Text+Video
"nope, we're not doing that.",Oppose,Text
can you ask her out again for a different night?,Confirm,Text+Video+Audio
i was just asking as a joke anyway.,Explain,Text
"without kids, what's the point of life?",Complain,Text+Video+Audio
i can't believe you'd want to bring someone into this crazy world.,Criticize,Text
i wasn't harassing her.,Explain,Text+Video+Audio
"it was wrong to harass you, and if you want, i will quit right now.",Apologise,Text+Video+Audio
"i like your sweater, and i think you're pretty.",Praise,Text
"oh, god, what have i done?",Complain,Text
"dina, i am trying to keep a positive attitude today, so help me out, okay?",Ask for help,Text
"yeah, sure. sorry.",Apologise,Text
what? no offense.,Doubt,Text+Video
"oh, shut the door. you're letting the air out.",Arrange,Text
"look, i'm just taking a break from the heat.",Explain,Text+Video
"yeah, it is a lot cooler in here.",Agree,Text
she's got a terrible cold.,Inform,Text
"you sound terrible-shrill, but in a different way.",Care,Text+Video+Audio
"uh-huh. hey, ames, can you hold on a sec?",Asking for opinions,Text+Video+Audio
"hey, sweetie!",Greet,Text
"you just get well soon, okay?",Comfort,Text
"so according to your wellness chart, you should shave that mustache.",Advise,Text+Video+Audio
you'll thank me later.,Flaunt,Text+Video+Audio
"hey! what up, my--hm--mateo?",Greet,Text
"who you seeing? oh, god.",Care,Text
"okay, look, i saw you at the movie theater yesterday with jeff.",Inform,Text
can we please not talk about this here?,Prevent,Text
"talk about what, mateo? the fact that i saw you making out with sandra's boyfriend?",Criticize,Text+Video+Audio
okay.,Prevent,Text+Video+Audio
he's not her boyfriend. he's my boyfriend.,Inform,Audio
that's us at the pool in his hotel.,Introduce,Text
that's us as nick nolte and barbara streisand in  prince of tides.    what about sandra?,Introduce,Text+Audio
she's just been saying she's dating him to get attention.,Inform,Audio
sad. yes.,Agree,Text+Video+Audio
"well, could you just please not say anything to anyone?",Ask for help,Text
it wouldn't be good if this got out.,Inform,Audio
"jeff's banging mateo, and sandra's insane.",Inform,Audio
don't tell anyone though.,Warn,Text
she's a maniac.,Complain,Text
that's so gross.,Complain,Text+Video+Audio
"wait, you guys have a wine club?",Doubt,Text
"look, this reText+Video+Audioy is none of your business, you know.",Oppose,Text+Video+Audio
"it you knew the whole story, you wouldn't think she was a maniac.",Explain,Text
the whole story is that she did date jeff.,Inform,Text
"it was very intense, and then they broke up.",Inform,Text
"yup, they broke up. it happened on a tuesday.",Agree,Text+Video+Audio
"no.   that is a good question, and we asked her that question, and what she said made a lot of sense.",Oppose,Text
she told us that...,Inform,Text
she's pregnant.,Inform,Text
sandra? that is wonderful.,Praise,Text
or manufacturing?,Advise,Text+Video+Audio
"okay, no baby shower, guys.",Oppose,Text+Video+Audio
"you're making a big deal out of this, and she doesn't even know if she's gonna keep it.",Criticize,Text+Video
"no, you don't mean she's gonna--",Oppose,Text
"oh, and childbirth is so easy.",Taunt,Text+Video+Audio
and that is our skit on the abortion debate.,Introduce,Text+Video+Audio
can we get a doctor? where's that nurse?,Ask for help,Text+Video
"wow, you're smoking now?",Doubt,Text+Video+Audio
